Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Belgium,BEL,2009.0,1.760987531587492,0.2130583843607506,0.0647608941307621,0.3885652530291814,0.1279612359796633,17.678174623169337,24.54995634965036,4.797815818214925,50.41871990987752,12.606014,1.5251766,0.4635903,2.781541,0.9160094,126.54906,175.74065,34.345123,360.92197
Belgium,BEL,2010.0,1.864550905480652,0.5409831500469112,0.2032536810033405,0.4689352814906102,0.1132413201197751,16.698330400286803,25.37395113221876,5.7014888647980575,49.035265264555086,14.258618,4.1370134,1.5543242,3.586048,0.8659805,127.69569,194.04001,43.6005,374.98312
Belgium,BEL,2011.0,2.083365728998182,0.5732539353151955,0.4519201990415097,0.8937891802497901,0.0757710704686511,17.893238954314896,23.156084790355404,5.752439796682026,49.12013634457436,14.866734,4.090695,3.224867,6.3780093,0.5406964,127.684746,165.24,41.048958,350.51743
Belgium,BEL,2012.0,2.450254845783482,0.5900080953124847,0.8599027020519756,1.1046226781272184,0.1429168193519932,15.479418694351992,24.44068024842461,5.644810604074027,49.28738531252221,16.782375,4.041105,5.889677,7.565822,0.9788711,106.0222,167.4,38.662643,337.58096
Belgium,BEL,2013.0,2.293158520600252,0.5695157786183824,1.0265985108493092,1.4230271555477931,0.1475444340341724,15.888597637430438,23.55362719736435,5.827872709511349,49.27005805604395,16.09637,3.9976027,7.206004,9.988656,1.0356588,111.52685,165.33,40.907593,345.84137
Belgium,BEL,2014.0,2.170390783221893,0.737699680580541,1.201353217138579,1.9210080224245485,0.1216212365102709,13.461276623068953,22.22096666513873,6.095327769078217,52.070356002838274,14.126461,4.801479,7.819269,12.503299,0.7915983,87.61565,144.63,39.672768,338.91125
Belgium,BEL,2015.0,2.676172920269594,0.4562518899527992,1.2519709537640236,2.283162487229116,0.1304196300751674,10.26003145903834,24.108183286090867,5.8925797176272,52.94122765595291,17.594471,2.9996233,8.23107,15.010628,0.8574425,67.45447,158.499,38.740704,348.06155
Belgium,BEL,2016.0,2.41850039587243,0.7121996504871925,1.167927709215831,2.044835500257641,0.1396049805933005,15.758192984229176,22.817604984807225,5.189454975181264,49.751678819355945,17.159374,5.05309,8.286502,14.508204,0.9905039,111.80512,161.89198,36.819427,352.9905
Belgium,BEL,2017.0,2.5462449958132978,0.7616333872790303,1.2294088673961192,2.423473117701528,0.100384928513512,15.059847415963825,22.9192276219966,5.037312347522536,49.92246731781355,18.232594,5.4537377,8.803282,17.353476,0.71881443,107.83726,164.11499,36.070084,357.47388
Belgium,BEL,2018.0,2.421957341924072,0.7564099299691112,1.445948535205321,2.805697254123817,0.1082775939130985,10.165262668729255,23.62573429217547,5.022663852397936,53.64804853156192,17.298235,5.402472,10.327332,20.039003,0.7733461,72.60289,168.741,35.873142,383.168
Belgium,BEL,2019.0,2.2365150160016,0.7339790378100987,1.5180060127662185,3.482364422490411,0.1078042947553664,14.908789585639678,23.54563204830496,4.869997110246944,48.59691247198472,16.515188,5.419951,11.209473,25.714964,0.7960636,110.091576,173.86896,35.961716,358.85614
Belgium,BEL,2020.0,2.532853606550359,1.1330035432155805,2.021969467963569,5.069992679067225,0.1055638819481621,13.069274385333568,25.599213481359,4.2064033663371045,46.261725588225424,16.818447,7.5232773,13.426116,33.66535,0.70095664,86.781525,169.9818,27.931015,307.18332
Belgium,BEL,2021.0,2.028090452745535,1.1250399702538754,1.991040174027361,4.251918720219731,0.1481735938749011,17.114852102100972,22.971124047594497,4.183789487939586,46.185971451243546,14.974311,8.30668,14.700752,31.393843,1.0940328,126.36671,169.60622,30.890814,341.01196
Belgium,BEL,2022.0,2.268738968098013,1.2407597710761182,2.5812829168842244,4.637224463944148,0.101772217727816,15.806869802299834,20.955695408815608,4.636700335557162,47.770956115597066,15.756082,8.616907,17.926657,32.20489,0.70679414,109.77655,145.53444,32.20125,331.76276
