Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
European Union (27),,1977,0.17389071610306342,0,0,0,5.920598333834168,2.0928832975162317,13.770246129855725,28.630196253149002,49.41218526954181,26.713247,0,0,0,909.5276,321.5106,2115.3975,4398.1963,7590.744
European Union (27),,1978,0.17669668080665576,0,0,0.00005553553830542096,5.543915368780128,2.414574903604361,13.754537558896509,28.108007604152043,50.002212348222,28.22465,0,0,0.008870971,885.5575,385.6922,2197.0815,4489.8335,7987.105
European Union (27),,1979,0.17372736513540776,0,0,0.0001071943883089619,5.608474091094292,2.61116206431883,13.888940327008378,28.08208362072934,49.63550533732545,28.75394,0,0,0.017741943,928.269,432.1783,2298.7844,4647.918,8215.265
European Union (27),,1980,0.19779356673268447,0,0,0.00019065873385960028,5.405777259327763,3.225816856678806,14.063754311389367,29.678939357161575,47.42772798997595,32.210224,0,0,0.031048333,880.3183,525.3168,2290.2498,4833.1465,7723.4956
European Union (27),,1981,0.19768950041824174,0,0,0.00019643549140446298,5.496892301759861,4.777914733401597,14.259850247936958,29.740331398112758,45.52712538287918,31.24654,0,0,0.031048333,868.8315,755.19086,2253.893,4700.7173,7195.957
European Union (27),,1982,0.18578235631660425,0,0,0.000354413895053935,5.534381746985721,5.345391605919927,14.212323484838805,30.939510044871668,43.782256347172215,28.675705,0,0,0.054704163,854.23773,825.0669,2193.6873,4775.5464,6757.838
European Union (27),,1983,0.1908556884504965,0,0,0.0005742131270515899,5.62160166599211,6.337655601878649,14.689285557895504,31.041199494732812,42.11882777792339,29.583378,0,0,0.08900528,871.37024,982.3614,2276.8967,4811.5073,6528.583
European Union (27),,1984,0.19244619329057555,0,0,0.0007071136968220267,5.532252870008431,8.022071024112165,14.989079299384766,31.26597047015599,39.997473029351255,30.742062,0,0,0.11295694,883.7424,1281.4751,2394.4106,4994.541,6389.3433
European Union (27),,1985,0.20307622801767738,0,0,0.001010717092023442,5.364107245025331,9.372119470040005,14.955054794192295,30.57958961057847,39.52504193505421,34.10287,0,0,0.16973111,900.8019,1573.8729,2511.4229,5135.2725,6637.4946
European Union (27),,1986,0.21545919047927276,0,0,0.0023194475614176147,4.996108515563846,10.172512055105763,14.958734135370184,29.371978049803754,40.28288860611575,36.697525,0,0,0.39505386,850.94916,1732.6066,2547.8074,5002.7056,6861.078
European Union (27),,1987,0.206789454026898,0,0,0.0032431422704767197,5.370901113615186,10.372495415029412,15.415685988382652,29.08594152243787,39.54494336423751,35.97415,0,0,0.5641936,934.3494,1804.4523,2681.7915,5059.939,6879.4404
European Union (27),,1988,0.2189747946028962,0,0,0.00555754476789862,5.623341046325737,11.063949742424775,15.272831785165453,28.469330657812673,39.34601442890057,38.413147,0,0,0.97491944,986.4616,1940.8678,2679.2012,4994.1665,6902.1836
European Union (27),,1989,0.2258397963441803,0,0.00015284236288792184,0.008513930993725754,4.5853658952754515,11.635527064572766,15.770094883569433,28.46355876578025,39.31094682110131,39.72042,0,0.026881723,1.4974195,806.4684,2046.4419,2773.6245,5006.135,6913.96
European Union (27),,1990,0.31105440716838084,0,0.00019420043687623279,0.01306190580570544,4.82608767459768,11.862034457752886,16.701421496413634,26.120849775850935,40.165296081973906,54.253757,0,0.03387222,2.2782428,841.76074,2068.9626,2913.043,4555.969,7005.5854
European Union (27),,1991,0.32130448329297345,0,0.00022960349430876307,0.016480252940183224,5.059262392113842,12.213472680533277,17.126492662662386,24.66388223704736,40.59887568791567,55.945606,0,0.03997861,2.8695452,880.91986,2126.6125,2982.0686,4294.4805,7069.085
European Union (27),,1992,0.3423678240447327,0.0008405010352404103,0.00038193011623349255,0.025972543619033388,5.369831525087787,12.456395554031735,16.86732708841627,23.3604632856347,41.57641974801427,58.532402,0.143695,0.06529611,4.440357,918.0452,2129.589,2883.6973,3993.7866,7108.0503
European Union (27),,1993,0.3786050281652852,0.002687640274504739,0.0004942774143663987,0.0360313613330558,5.5504341601212595,12.931029654936516,17.342991517047516,22.465999545727758,41.29172681497973,64.22375,0.45591137,0.083845556,6.112093,941.5345,2193.524,2941.9365,3810.9656,7004.4224
European Union (27),,1994,0.39548079503636124,0.008648723964834716,0.0005182704346233693,0.04606506133031795,5.731885368279126,12.935831031101985,17.1840522696663,22.02785248560879,41.66966599457768,66.87892,1.4625674,0.087643616,7.789965,969.307,2187.551,2905.9587,3725.0835,7046.669
European Union (27),,1995,0.42430062911415367,0.013154357690516748,0.0006627918430525457,0.05916918504273763,5.571943404555533,12.970973116234973,18.149417505488866,21.2407950298645,41.56958398016566,73.59343,2.2815764,0.11495888,10.262684,966.4337,2249.769,3147.9517,3684.1401,7210.096
European Union (27),,1996,0.4098419652001267,0.01914878551309345,0.000674439945651076,0.07177008006248725,5.38052679863251,13.212116813030914,19.12023635575084,20.633380833214648,41.152303928649715,73.30143,3.4248161,0.12062555,12.836288,962.3229,2363.0256,3419.71,3690.3403,7360.2095
European Union (27),,1997,0.4930115937389673,0.02644747347855204,0.0008299846178367025,0.110123402372113,5.568717024164973,13.38962180280547,18.70747667184134,20.123032286831364,41.58073976014938,87.7072,4.705029,0.147655,19.591051,990.6797,2382.0256,3328.0767,3579.9053,7397.2505
European Union (27),,1998,0.5423198537309888,0.02427977450065059,0.0009730864178771379,0.16938995557921582,5.69576144422175,13.17024068686736,19.047284442463937,19.03968357470439,42.31006718151382,97.36384,4.3589997,0.17470028,30.41094,1022.5722,2364.4814,3419.5996,3418.235,7596.0166
European Union (27),,1999,0.5561558367242946,0.027406131790094202,0.0011448722909984674,0.22086903012556527,5.683803045277047,13.463795554820946,19.608634600727658,18.216613996543774,42.221576931699616,99.42361,4.899376,0.20466806,39.48461,1016.0897,2406.9138,3505.4226,3256.572,7547.9233
European Union (27),,2000,0.6025530469736093,0.03836524720251195,0.0009375564713941035,0.3514691381289474,5.844374108969322,13.537391388321286,19.9109218262181,18.31028630470254,41.40370138301229,108.60708,6.915138,0.16898972,63.3505,1053.4183,2440.045,3588.841,3300.3347,7462.8037
European Union (27),,2001,0.6449491938424018,0.0453996278899149,0.002781097913122649,0.4136725560283127,6.011950567636808,13.650498057596678,20.22785876324557,17.896802616945354,41.10608751890184,118.39499,8.334127,0.51053333,75.93894,1103.6293,2505.8572,3713.2803,3285.3623,7545.9507
