state_code,year,month,value,country
1,1945,1,56.0,Alabama
1,1945,2,62.3,Alabama
1,1945,3,75.5,Alabama
1,1945,4,78.0,Alabama
1,1945,5,81.0,Alabama
1,1945,6,90.4,Alabama
1,1945,7,90.2,Alabama
1,1945,8,90.8,Alabama
1,1945,9,88.6,Alabama
1,1945,10,75.6,Alabama
1,1945,11,68.2,Alabama
1,1945,12,50.8,Alabama
1,1946,1,56.4,Alabama
1,1946,2,62.9,Alabama
1,1946,3,71.8,Alabama
1,1946,4,79.0,Alabama
1,1946,5,80.8,Alabama
1,1946,6,87.0,Alabama
1,1946,7,88.1,Alabama
1,1946,8,88.4,Alabama
1,1946,9,82.7,Alabama
1,1946,10,77.3,Alabama
1,1946,11,69.9,Alabama
1,1946,12,63.1,Alabama
1,1947,1,58.4,Alabama
1,1947,2,54.5,Alabama
1,1947,3,60.7,Alabama
1,1947,4,76.4,Alabama
1,1947,5,81.5,Alabama
1,1947,6,87.8,Alabama
1,1947,7,89.1,Alabama
1,1947,8,92.0,Alabama
1,1947,9,87.7,Alabama
1,1947,10,80.6,Alabama
1,1947,11,61.7,Alabama
1,1947,12,59.2,Alabama
1,1948,1,49.8,Alabama
1,1948,2,60.5,Alabama
1,1948,3,68.7,Alabama
1,1948,4,79.2,Alabama
1,1948,5,84.5,Alabama
1,1948,6,91.5,Alabama
1,1948,7,91.6,Alabama
1,1948,8,89.7,Alabama
1,1948,9,83.7,Alabama
1,1948,10,75.4,Alabama
1,1948,11,66.8,Alabama
1,1948,12,60.0,Alabama
1,1949,1,63.0,Alabama
1,1949,2,63.2,Alabama
1,1949,3,65.8,Alabama
1,1949,4,72.7,Alabama
1,1949,5,85.0,Alabama
1,1949,6,87.7,Alabama
1,1949,7,90.3,Alabama
1,1949,8,89.7,Alabama
1,1949,9,83.6,Alabama
1,1949,10,79.2,Alabama
1,1949,11,66.5,Alabama
1,1949,12,60.2,Alabama
1,1950,1,68.4,Alabama
1,1950,2,65.8,Alabama
1,1950,3,64.3,Alabama
1,1950,4,72.1,Alabama
1,1950,5,85.0,Alabama
